,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
51,–,37.685364,55.745617,2,1.0,,19,0.06830434648314976,0,,,7356800,4,"27,8","41,3",51,,
52,–,37.685364,55.745617,2,1.0,,19,0.06830434648314976,0,,,7356800,5,"23,4",42,52,,
53,6,37.538242,55.765412,2,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,7500000,5,24,40,53,1.0,15
54,"8,5",37.689096,55.773732,1,,1.0,12,0.06830434648314976,0,0.0,0.0,7500000,9,17,"35,2",54,1.0,10
55,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,7534606,2,"34,1","34,1",55,1.0,6
56,6,37.536949,55.758392,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,7600000,7,24,38,56,1.0,10
57,60,37.581298,55.740715,4,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,300000000,2,180,274,57,1.0,12
58,8,37.643408,55.759208,2,1.0,1.0,6,0.06830434648314976,0,1.0,0.0,24000000,5,"32,2","56,4",58,1.0,11
59,10,37.580894,55.743553,1,1.0,,9,0.06830434648314976,0,1.0,0.0,17990000,4,21,44,59,1.0,6
60,5,37.656505,55.785685,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,7650000,8,21,36,60,1.0,13
61,–,37.671938,55.775753,1,1.0,,4,0.06830434648314976,0,,,7764334,4,18,"32,2",61,1.0,6
62,–,37.671938,55.775753,1,1.0,,6,0.06830434648314976,0,,,7787802,3,–,"32,2",62,1.0,9
63,"6,5",37.673484,55.732651,2,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,7800000,5,30,45,63,1.0,8
64,6,37.56344,55.761882,1,0.0,1.0,5,0.06830434648314976,0,1.0,0.0,7800000,3,21,32,64,1.0,4
65,6,37.523411,55.752931,2,1.0,1.0,5,0.06830434648314976,0,0.0,0.0,7800000,4,31,44,65,1.0,10
66,6,37.548564,55.764384,1,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,7800000,7,20,31,66,1.0,13
67,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,7804265,4,"35,6","35,6",67,1.0,6
68,4,37.636976,55.770294,1,1.0,,5,0.06830434648314976,0,1.0,0.0,7850000,3,15,24,68,1.0,4
69,"5,6",37.546857,55.754335,2,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,7850000,5,"29,2","43,4",69,1.0,7
70,–,37.672163,55.776294,1,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,7863878,2,29,29,70,1.0,5
71,–,37.671938,55.775753,1,1.0,,6,0.06830434648314976,0,,,7989174,2,–,28,71,1.0,9
72,9,37.632448,55.724834,2,1.0,0.0,5,0.06830434648314976,0,0.0,0.0,8000000,1,31,57,72,1.0,7
73,9,37.683221,55.734141,1,1.0,1.0,14,0.06830434648314976,0,1.0,0.0,8000000,2,20,37,73,1.0,15
74,"8,2",37.685512,55.779028,1,1.0,1.0,14,0.06830434648314976,0,1.0,0.0,8000000,5,17,"38,5",74,1.0,13
75,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8018077,3,29,29,75,1.0,6
76,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8081363,2,"55,2","55,2",76,1.0,6
77,–,37.671938,55.775753,2,1.0,,5,0.06830434648314976,0,,,8081363,2,30,"55,2",77,1.0,6
78,–,37.671938,55.775753,1,1.0,,5,0.06830434648314976,0,,,8081363,2,25,"55,2",78,1.0,6
79,6,37.638835,55.733655,3,0.0,1.0,5,0.06830434648314976,0,0.0,0.0,8150000,3,40,56,79,1.0,5
80,–,37.564721,55.771218,1,1.0,,44,0.06830434648314976,0,,,8157500,3,20,43,80,1.0,7
81,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8168388,2,"40,8","40,8",81,1.0,6
82,"5,6",37.674885,55.730831,2,0.0,1.0,9,0.06830434648314976,0,1.0,0.0,8200000,7,"32,3","44,6",82,1.0,7
83,"8,5",37.541404,55.761381,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,8200000,2,20,40,83,0.0,15
84,–,37.671938,55.775753,1,1.0,,6,0.06830434648314976,0,,,8230204,5,–,"30,6",84,1.0,9
85,13,37.567869,55.766111,4,1.0,,12,0.06830434648314976,0,1.0,0.0,30950000,2,65,115,85,1.0,6
86,6,37.61892,55.734151,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,10950000,5,21,"41,6",86,1.0,5
87,16,37.571013,55.734973,3,1.0,1.0,11,0.06830434648314976,0,0.0,0.0,95868549,9,"94,5",142,87,1.0,10
88,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8232146,4,"28,6","28,6",88,1.0,6
89,7,37.655347,55.771312,2,0.0,,6,0.06830434648314976,0,1.0,0.0,8300000,3,27,"40,5",89,1.0,9
