,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
1692,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1692,1.0,8
1693,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1693,1.0,8
1694,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1694,,
1695,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1695,1.0,13
1696,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1696,0.0,20
1697,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1697,0.0,9
1698,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1698,0.0,15
1699,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1699,1.0,5
1700,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1700,1.0,8
1701,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1701,1.0,8
1702,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1702,1.0,8
1703,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1703,0.0,5
1704,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1704,1.0,25
1705,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1705,1.0,5
1706,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1706,0.0,10
1707,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1707,0.0,15
1708,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1708,1.0,8
1709,–,37.684748,55.867112,1,1.0,0.0,23,0.06830434648314976,0,,,8779974,13,–,"44,6",1709,1.0,15
1710,8,37.591374,55.803318,1,1.0,1.0,46,0.06830434648314976,0,1.0,,5640000,7,16,"35,8",1710,1.0,11
1711,9,37.681946,55.877693,1,0.0,1.0,16,0.06830434648314976,0,1.0,,6650000,11,19,39,1711,1.0,20
1712,6,37.596489,55.879824,1,1.0,1.0,20,0.06830434648314976,0,1.0,0.0,3224000,17,"11,4","24,8",1712,1.0,8
1713,"7,1",37.548865,55.925023,1,1.0,1.0,8,0.06830434648314976,0,1.0,,3450000,6,"23,5",31,1713,0.0,10
1714,4,37.717726,55.878511,1,1.0,,5,0.06830434648314976,0,0.0,0.0,3550000,5,"14,6",23,1714,0.0,14
1715,–,37.639779,55.888952,1,1.0,0.0,6,0.06830434648314976,0,1.0,0.0,3600000,4,18,"28,7",1715,1.0,20
1716,–,37.639779,55.888952,1,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,3950000,7,27,33,1716,1.0,24
1717,"9,9",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4061875,20,"13,9","33,5",1717,1.0,8
1718,–,37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4098250,16,"16,3","33,8",1718,1.0,8
1719,"12,5",37.550217,55.9203,1,,1.0,9,0.06830434648314976,0,0.0,0.0,4200000,4,17,"40,1",1719,,
1720,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1720,1.0,8
1721,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1721,1.0,8
1722,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1722,,
1723,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1723,1.0,13
1724,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1724,0.0,20
1725,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1725,0.0,9
1726,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1726,0.0,15
1727,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1727,1.0,5
1728,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1728,1.0,8
1729,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1729,1.0,8
1730,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1730,1.0,8
1731,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1731,0.0,5
1732,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1732,1.0,25
1733,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1733,1.0,5
1734,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1734,0.0,10
1735,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1735,0.0,15
1736,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1736,1.0,8
1737,12,37.597261,55.880065,1,1.0,,20,0.06830434648314976,0,,,4547000,4,21,"40,6",1737,1.0,8
1738,7,37.615919,55.871945,1,0.0,1.0,9,0.06830434648314976,0,0.0,0.0,5845000,8,21,36,1738,1.0,12
1739,"13,7",37.670824,55.861196,1,1.0,,18,0.06830434648314976,0,1.0,,12498373,13,"23,6",51,1739,1.0,17
1740,6,37.596489,55.879824,1,1.0,1.0,20,0.06830434648314976,0,1.0,0.0,3224000,17,"11,4","24,8",1740,1.0,8
1741,"7,1",37.548865,55.925023,1,1.0,1.0,8,0.06830434648314976,0,1.0,,3450000,6,"23,5",31,1741,0.0,10
1742,4,37.717726,55.878511,1,1.0,,5,0.06830434648314976,0,0.0,0.0,3550000,5,"14,6",23,1742,0.0,14
1743,–,37.639779,55.888952,1,1.0,0.0,6,0.06830434648314976,0,1.0,0.0,3600000,4,18,"28,7",1743,1.0,20
1744,–,37.639779,55.888952,1,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,3950000,7,27,33,1744,1.0,24
1745,"9,9",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4061875,20,"13,9","33,5",1745,1.0,8
1746,–,37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4098250,16,"16,3","33,8",1746,1.0,8
1747,"12,5",37.550217,55.9203,1,,1.0,9,0.06830434648314976,0,0.0,0.0,4200000,4,17,"40,1",1747,,
1748,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1748,1.0,8
1749,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1749,1.0,8
1750,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1750,,
1751,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1751,1.0,13
1752,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1752,0.0,20
1753,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1753,0.0,9
1754,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1754,0.0,15
1755,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1755,1.0,5
1756,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1756,1.0,8
1757,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1757,1.0,8
1758,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1758,1.0,8
1759,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1759,0.0,5
1760,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1760,1.0,25
1761,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1761,1.0,5
1762,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1762,0.0,10
1763,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1763,0.0,15
1764,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1764,1.0,8
1765,–,37.616962,55.806621,1,,,,0.06830434648314976,0,,,5346730,2,–,"35,8",1765,,
1766,"8,6",37.544009,55.928718,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,6500000,14,"17,8","38,2",1766,0.0,10
1767,–,37.618053,55.850616,1,1.0,0.0,18,0.06830434648314976,0,1.0,,4654892,2,20,"29,5",1767,1.0,10
1768,6,37.596489,55.879824,1,1.0,1.0,20,0.06830434648314976,0,1.0,0.0,3224000,17,"11,4","24,8",1768,1.0,8
1769,"7,1",37.548865,55.925023,1,1.0,1.0,8,0.06830434648314976,0,1.0,,3450000,6,"23,5",31,1769,0.0,10
1770,4,37.717726,55.878511,1,1.0,,5,0.06830434648314976,0,0.0,0.0,3550000,5,"14,6",23,1770,0.0,14
1771,–,37.639779,55.888952,1,1.0,0.0,6,0.06830434648314976,0,1.0,0.0,3600000,4,18,"28,7",1771,1.0,20
1772,–,37.639779,55.888952,1,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,3950000,7,27,33,1772,1.0,24
1773,"9,9",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4061875,20,"13,9","33,5",1773,1.0,8
1774,–,37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4098250,16,"16,3","33,8",1774,1.0,8
1775,"12,5",37.550217,55.9203,1,,1.0,9,0.06830434648314976,0,0.0,0.0,4200000,4,17,"40,1",1775,,
1776,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1776,1.0,8
1777,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1777,1.0,8
1778,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1778,,
1779,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1779,1.0,13
1780,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1780,0.0,20
1781,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1781,0.0,9
1782,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1782,0.0,15
1783,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1783,1.0,5
1784,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1784,1.0,8
1785,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1785,1.0,8
1786,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1786,1.0,8
1787,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1787,0.0,5
1788,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1788,1.0,25
1789,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1789,1.0,5
1790,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1790,0.0,10
1791,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1791,0.0,15
1792,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1792,1.0,8
1793,10,37.597562,55.879981,2,1.0,1.0,20,0.06830434648314976,0,,,5938500,17,"27,3","55,5",1793,1.0,8
1794,10,37.623007,55.826615,2,0.0,1.0,15,0.06830434648314976,0,1.0,0.0,15700000,6,30,52,1794,1.0,15
1795,5,37.645124,55.811359,1,1.0,1.0,24,0.06830434648314976,0,1.0,,9565360,4,25,"43,4",1795,1.0,8
1796,6,37.596489,55.879824,1,1.0,1.0,20,0.06830434648314976,0,1.0,0.0,3224000,17,"11,4","24,8",1796,1.0,8
1797,"7,1",37.548865,55.925023,1,1.0,1.0,8,0.06830434648314976,0,1.0,,3450000,6,"23,5",31,1797,0.0,10
1798,4,37.717726,55.878511,1,1.0,,5,0.06830434648314976,0,0.0,0.0,3550000,5,"14,6",23,1798,0.0,14
1799,–,37.639779,55.888952,1,1.0,0.0,6,0.06830434648314976,0,1.0,0.0,3600000,4,18,"28,7",1799,1.0,20
1800,–,37.639779,55.888952,1,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,3950000,7,27,33,1800,1.0,24
1801,"9,9",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4061875,20,"13,9","33,5",1801,1.0,8
1802,–,37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4098250,16,"16,3","33,8",1802,1.0,8
1803,"12,5",37.550217,55.9203,1,,1.0,9,0.06830434648314976,0,0.0,0.0,4200000,4,17,"40,1",1803,,
1804,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1804,1.0,8
1805,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1805,1.0,8
1806,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1806,,
1807,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1807,1.0,13
1808,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1808,0.0,20
1809,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1809,0.0,9
1810,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1810,0.0,15
1811,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1811,1.0,5
1812,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1812,1.0,8
1813,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1813,1.0,8
1814,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1814,1.0,8
1815,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1815,0.0,5
1816,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1816,1.0,25
1817,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1817,1.0,5
1818,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1818,0.0,10
1819,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1819,0.0,15
1820,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1820,1.0,8
1821,9,37.643794,55.839016,1,0.0,1.0,17,0.06830434648314976,0,1.0,,7650000,2,20,40,1821,1.0,10
1822,7,37.615919,55.871945,1,0.0,1.0,9,0.06830434648314976,0,0.0,0.0,5845000,8,21,36,1822,1.0,12
1823,6,37.590693,55.804072,1,1.0,0.0,46,0.06830434648314976,0,1.0,,5809480,3,15,"31,1",1823,1.0,10
1824,6,37.596489,55.879824,1,1.0,1.0,20,0.06830434648314976,0,1.0,0.0,3224000,17,"11,4","24,8",1824,1.0,8
1825,"7,1",37.548865,55.925023,1,1.0,1.0,8,0.06830434648314976,0,1.0,,3450000,6,"23,5",31,1825,0.0,10
1826,4,37.717726,55.878511,1,1.0,,5,0.06830434648314976,0,0.0,0.0,3550000,5,"14,6",23,1826,0.0,14
1827,–,37.639779,55.888952,1,1.0,0.0,6,0.06830434648314976,0,1.0,0.0,3600000,4,18,"28,7",1827,1.0,20
1828,–,37.639779,55.888952,1,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,3950000,7,27,33,1828,1.0,24
1829,"9,9",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4061875,20,"13,9","33,5",1829,1.0,8
1830,–,37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4098250,16,"16,3","33,8",1830,1.0,8
1831,"12,5",37.550217,55.9203,1,,1.0,9,0.06830434648314976,0,0.0,0.0,4200000,4,17,"40,1",1831,,
1832,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1832,1.0,8
1833,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1833,1.0,8
1834,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1834,,
1835,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1835,1.0,13
1836,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1836,0.0,20
1837,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1837,0.0,9
1838,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1838,0.0,15
1839,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1839,1.0,5
1840,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1840,1.0,8
1841,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1841,1.0,8
1842,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1842,1.0,8
1843,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1843,0.0,5
1844,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1844,1.0,25
1845,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1845,1.0,5
1846,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1846,0.0,10
1847,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1847,0.0,15
1848,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1848,1.0,8
1849,"12,2",37.68491,55.872238,2,1.0,1.0,12,0.06830434648314976,0,1.0,,11217600,2,"33,6","65,6",1849,1.0,15
1850,6,37.613099,55.888881,2,,,9,0.06830434648314976,0,1.0,0.0,6500000,6,29,45,1850,1.0,9
1851,7,37.609784,55.887513,1,0.0,0.0,9,0.06830434648314976,0,0.0,0.0,5200000,4,19,33,1851,0.0,5
1852,6,37.596489,55.879824,1,1.0,1.0,20,0.06830434648314976,0,1.0,0.0,3224000,17,"11,4","24,8",1852,1.0,8
1853,"7,1",37.548865,55.925023,1,1.0,1.0,8,0.06830434648314976,0,1.0,,3450000,6,"23,5",31,1853,0.0,10
1854,4,37.717726,55.878511,1,1.0,,5,0.06830434648314976,0,0.0,0.0,3550000,5,"14,6",23,1854,0.0,14
1855,–,37.639779,55.888952,1,1.0,0.0,6,0.06830434648314976,0,1.0,0.0,3600000,4,18,"28,7",1855,1.0,20
1856,–,37.639779,55.888952,1,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,3950000,7,27,33,1856,1.0,24
1857,"9,9",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4061875,20,"13,9","33,5",1857,1.0,8
1858,–,37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4098250,16,"16,3","33,8",1858,1.0,8
1859,"12,5",37.550217,55.9203,1,,1.0,9,0.06830434648314976,0,0.0,0.0,4200000,4,17,"40,1",1859,,
1860,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1860,1.0,8
1861,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1861,1.0,8
1862,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1862,,
1863,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1863,1.0,13
1864,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1864,0.0,20
1865,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1865,0.0,9
1866,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1866,0.0,15
1867,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1867,1.0,5
1868,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1868,1.0,8
1869,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1869,1.0,8
1870,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1870,1.0,8
1871,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1871,0.0,5
1872,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1872,1.0,25
1873,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1873,1.0,5
1874,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1874,0.0,10
1875,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1875,0.0,15
1876,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1876,1.0,8
1877,7,37.612955,55.87892,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,6850000,9,19,38,1877,0.0,7
1878,"6,5",37.597562,55.879981,2,1.0,1.0,20,0.06830434648314976,0,,,5232300,4,"28,7","48,9",1878,1.0,8
1879,10,37.603433,55.894727,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,7990000,10,32,54,1879,1.0,12
1880,6,37.596489,55.879824,1,1.0,1.0,20,0.06830434648314976,0,1.0,0.0,3224000,17,"11,4","24,8",1880,1.0,8
1881,"7,1",37.548865,55.925023,1,1.0,1.0,8,0.06830434648314976,0,1.0,,3450000,6,"23,5",31,1881,0.0,10
1882,4,37.717726,55.878511,1,1.0,,5,0.06830434648314976,0,0.0,0.0,3550000,5,"14,6",23,1882,0.0,14
1883,–,37.639779,55.888952,1,1.0,0.0,6,0.06830434648314976,0,1.0,0.0,3600000,4,18,"28,7",1883,1.0,20
1884,–,37.639779,55.888952,1,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,3950000,7,27,33,1884,1.0,24
1885,"9,9",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4061875,20,"13,9","33,5",1885,1.0,8
1886,–,37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4098250,16,"16,3","33,8",1886,1.0,8
1887,"12,5",37.550217,55.9203,1,,1.0,9,0.06830434648314976,0,0.0,0.0,4200000,4,17,"40,1",1887,,
1888,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4313008,3,"11,8","39,7",1888,1.0,8
1889,10,37.597261,55.880065,1,1.0,1.0,17,0.06830434648314976,0,,,4331000,4,14,"35,5",1889,1.0,8
1890,"7,5",37.716576,55.873753,1,0.0,,4,0.06830434648314976,0,1.0,,4350000,1,"19,5","35,2",1890,,
1891,6,37.678155,55.871769,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,4350000,4,"18,4","30,4",1891,1.0,13
1892,6,37.715606,55.870587,1,,,9,0.06830434648314976,0,1.0,0.0,4400000,8,19,33,1892,0.0,20
1893,9,37.623784,55.850472,1,1.0,1.0,18,0.06830434648314976,0,1.0,,4400000,11,17,32,1893,0.0,9
1894,"3,4",37.718588,55.879763,1,1.0,,5,0.06830434648314976,0,0.0,0.0,4400000,1,"15,5","23,3",1894,0.0,15
1895,–,37.590693,55.804072,1,1.0,,46,0.06830434648314976,0,,,4414000,7,15,"28,5",1895,1.0,5
1896,"15,2",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4421648,16,"13,9","40,7",1896,1.0,8
1897,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4443376,14,"16,5","40,9",1897,1.0,8
1898,12,37.597261,55.880065,1,1.0,1.0,20,0.06830434648314976,0,1.0,,4446000,4,"15,5","39,7",1898,1.0,8
1899,"5,9",37.690444,55.885999,1,,,9,0.06830434648314976,0,1.0,0.0,4475000,1,"18,9","32,6",1899,0.0,5
1900,"5,8",37.667393,55.83525,1,,,5,0.06830434648314976,0,1.0,0.0,4500000,1,"18,4","30,1",1900,1.0,25
1901,9,37.669441,55.869142,1,1.0,1.0,17,0.06830434648314976,0,1.0,,4500000,15,16,38,1901,1.0,5
1902,12,37.708832,55.867071,1,,,16,0.06830434648314976,0,0.0,0.0,4500000,3,14,38,1902,0.0,10
1903,"6,7",37.715606,55.870587,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,9,"18,8","32,6",1903,0.0,15
1904,"13,6",37.597562,55.879981,1,1.0,,20,0.06830434648314976,0,,,4530288,20,"17,3","41,7",1904,1.0,8
1905,9,37.574013,55.878526,1,1.0,1.0,15,0.06830434648314976,0,1.0,0.0,6300000,10,18,35,1905,1.0,30
1906,"13,7",37.670824,55.861196,1,1.0,,18,0.06830434648314976,0,1.0,,12498373,13,"23,6",51,1906,1.0,17
